"","player","pos","age","bref_team_id","g","gs","mp","fg","fga","fg.","x3p","x3pa","x3p.","x2p","x2pa","x2p.","ft","fta","ft.","orb","drb","trb","ast","stl","blk","tov","pf","pts","table_name","season","data_source","scrape_time"
"2884","Francisco Garcia","SF",27,"SAC",65,36,30.4,4.5,10.2,44.4,1.4,3.4,39.8,3.2,6.8,46.6,2.2,2.7,82,0.9,2.5,3.4,2.3,1.2,1,1.7,3,12.7,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2885","Thomas Gardner","SG",23,"ATL",16,0,6.1,0.6,2.3,25,0.3,1.4,17.4,0.3,0.8,38.5,0.1,0.3,50,0,0.4,0.4,0.1,0.3,0.1,0.2,0.3,1.5,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2886","Kevin Garnett","PF",32,"BOS",57,57,31.1,6.9,13,53.1,0,0.1,25,6.9,12.8,53.4,1.9,2.3,84.1,1.4,7.1,8.5,2.5,1.1,1.2,1.6,2.2,15.8,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2887","Marc Gasol","C",24,"MEM",82,75,30.7,4.3,8.1,53,0,0,0,4.3,8,53,3.4,4.6,73.3,2.5,4.9,7.4,1.7,0.8,1.1,2,3.2,11.9,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2888","Pau Gasol","C",28,"LAL",81,81,37,7.3,12.9,56.7,0,0,50,7.3,12.9,56.7,4.2,5.4,78.1,3.2,6.4,9.6,3.5,0.6,1,1.9,2.1,18.9,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2889","Rudy Gay","SF",22,"MEM",79,78,37.3,7.2,16,45.3,1.1,3.1,35.1,6.2,12.9,47.7,3.3,4.4,76.7,1.4,4.2,5.5,1.7,1.2,0.7,2.6,2.8,18.9,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2890","Devean George","SF",31,"DAL",43,17,16.5,1.3,3.3,38,0.5,1.8,28.9,0.7,1.5,48.5,0.4,0.5,77.3,0.6,1.2,1.8,0.3,0.5,0.3,0.4,1.3,3.4,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2891","Daniel Gibson","PG",22,"CLE",75,0,23.9,2.7,7,39.1,1.4,3.8,38.2,1.3,3.3,40.2,0.9,1.1,76.7,0.4,1.7,2.1,1.8,0.6,0.2,0.8,2.2,7.8,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2892","J.R. Giddens","SF",23,"BOS",6,0,1.3,0.3,0.5,66.7,0,0,0,0.3,0.5,66.7,0,0,0,0.3,0.2,0.5,0,0.2,0,0.2,0.2,0.7,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2893","Eddie Gill","PG",30,"MIL",6,0,7.2,1,1.5,66.7,0.3,0.5,66.7,0.7,1,66.7,0,0,0,0,0.7,0.7,1.8,0.5,0.2,0.8,1.7,2.3,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2894","Manu Ginobili","SG",31,"SAS",44,7,26.8,5.1,11.2,45.4,1.6,4.8,33,3.5,6.4,54.6,3.8,4.3,88.4,0.5,4,4.5,3.6,1.5,0.4,2,2,15.5,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2895","Ryan Gomes","SF",26,"MIN",82,76,31.9,5.1,11.9,43.1,1.3,3.5,37.2,3.8,8.4,45.6,1.8,2.2,80.7,1.3,3.5,4.8,1.6,0.8,0.3,1.6,2.2,13.3,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2896","Drew Gooden","PF",27,"TOT",51,28,24.8,4.6,9.9,46.8,0,0.1,0,4.6,9.8,47.2,2.6,3.1,84,2.2,4.9,7.1,0.9,0.6,0.4,1.5,2.8,11.9,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2897","Ben Gordon","SG",25,"CHI",82,76,36.6,7.3,16,45.5,2.1,5.1,41,5.2,10.9,47.6,4,4.7,86.4,0.6,2.8,3.5,3.4,0.9,0.3,2.4,2.2,20.7,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2898","Eric Gordon","SG",20,"LAC",78,65,34.3,5.3,11.6,45.6,1.7,4.3,38.9,3.6,7.2,49.6,3.8,4.5,85.4,0.6,2,2.6,2.8,1,0.4,2.1,2.2,16.1,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2899","Marcin Gortat","PF",24,"ORL",63,3,12.6,1.7,3,56.7,0,0,100,1.7,3,56.5,0.4,0.7,57.8,1.5,3,4.5,0.2,0.3,0.8,0.4,1.8,3.8,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2900","Joey Graham","SF",26,"TOR",78,10,19.8,3,6.2,48.1,0,0.2,18.8,2.9,5.9,49.1,1.7,2.1,82.5,1.2,2.5,3.7,0.6,0.4,0.2,0.9,2.4,7.7,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2901","Stephen Graham","SG",26,"IND",52,6,13.2,2,4.9,41.4,0.4,1.3,30.3,1.7,3.7,45.3,1,1.2,80.6,0.4,1.4,1.8,0.6,0.2,0.1,0.9,1.6,5.4,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2902","Danny Granger","SF",25,"IND",67,66,36.2,8.5,19.1,44.7,2.7,6.7,40.4,5.8,12.3,47,6,6.9,87.8,0.7,4.4,5.1,2.7,1,1.4,2.5,3.1,25.8,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2903","Aaron Gray","C",24,"CHI",56,18,12.8,1.4,3,48.5,0,0,0,1.4,3,48.8,0.6,1.1,57.6,1.5,2.4,3.9,0.8,0.3,0.3,0.7,2.4,3.5,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2904","Gerald Green","SG",23,"DAL",38,12,9.9,2.1,4.7,43.9,0.4,1.2,30.4,1.7,3.5,48.5,0.7,0.8,84.4,0.4,1.1,1.4,0.4,0.3,0.1,0.9,1.3,5.2,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2905","Jeff Green","PF",22,"OKC",78,78,36.8,6.1,13.7,44.6,1.2,3.2,38.9,4.9,10.5,46.3,3.1,3.9,78.8,1.5,5.1,6.7,2,1,0.4,2.2,2.6,16.5,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2906","Willie Green","SG",27,"PHI",81,60,22.6,3.5,8.1,43.5,0.6,2,31.7,2.9,6.1,47.3,0.8,1,72.9,0.4,1.2,1.6,2,0.7,0.2,0.8,1.9,8.5,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2907","Donte Greene","SF",20,"SAC",55,4,13.2,1.4,4.3,32.6,0.5,1.8,26,0.9,2.5,37.5,0.5,0.6,85.3,0.3,1.2,1.6,0.5,0.3,0.3,0.7,1.2,3.8,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2908","Hamed Haddadi","C",23,"MEM",19,0,6.3,0.8,1.6,48.4,0,0,0,0.8,1.6,48.4,0.9,1.6,60,0.8,1.6,2.5,0.4,0.1,0.6,0.5,1.1,2.5,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2909","Malik Hairston","SG",21,"SAS",15,0,10.3,1.6,3.3,49,0,0.1,0,1.6,3.2,50,0.1,0.5,28.6,0.7,1.1,1.9,0.9,0.4,0.5,0.8,1.3,3.3,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2910","Richard Hamilton","SG",30,"DET",67,51,34,7,15.6,44.7,1,2.8,36.8,5.9,12.7,46.4,3.3,3.9,84.8,0.7,2.4,3.1,4.4,0.6,0.1,2,2.6,18.3,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2911","Matt Harpring","SG",32,"UTA",63,2,11,1.8,3.8,46.1,0,0,0,1.8,3.8,46.4,0.9,1.1,76.4,0.7,1.2,2,0.4,0.5,0.1,0.5,1.6,4.4,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2912","Al Harrington","PF",28,"TOT",73,56,34.9,7.3,16.6,43.9,2.3,6.4,36.4,4.9,10.2,48.7,3.2,4,79.3,1.4,4.9,6.2,1.4,1.2,0.3,2.2,3.1,20.1,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2913","Devin Harris","PG",25,"NJN",69,69,36.1,6.6,15.1,43.8,0.9,3.2,29.1,5.7,11.9,47.7,7.2,8.8,82,0.4,2.9,3.3,6.9,1.7,0.2,3.1,2.4,21.3,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2914","Jason Hart","PG",30,"TOT",39,2,8.9,0.8,2.4,31.9,0,0.2,0,0.8,2.3,34.1,0.5,0.6,78.3,0.3,0.8,1.2,1.2,0.3,0.1,0.6,1,2,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2915","Udonis Haslem","PF",28,"MIA",75,75,34.1,4.4,8.6,51.8,0,0,0,4.4,8.6,51.8,1.7,2.3,75.3,2.3,6,8.2,1.1,0.6,0.3,1.1,2.7,10.6,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2916","Trenton Hassell","SF",29,"NJN",53,31,20.6,1.6,3.6,45,0,0.2,25,1.6,3.5,45.9,0.4,0.5,80,0.9,1.8,2.8,1,0.4,0.3,0.6,1.7,3.7,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2917","Spencer Hawes","C",20,"SAC",77,51,29.3,4.8,10.4,46.6,0.5,1.5,34.8,4.3,8.9,48.6,1.2,1.8,66.2,1.9,5.2,7.1,1.9,0.6,1.2,2.1,3.2,11.4,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2918","Chuck Hayes","C",25,"HOU",71,1,12.1,0.6,1.6,37.2,0,0.1,0,0.6,1.5,38.5,0.1,0.3,36.8,1,2.5,3.5,0.6,0.5,0.3,0.4,1.9,1.3,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
"2919","Jarvis Hayes","SF",27,"NJN",74,1,24.8,3.5,7.8,44.5,1.3,3.3,38.5,2.2,4.5,48.9,0.5,0.7,69.2,0.4,3.2,3.6,0.7,0.7,0.1,0.7,2.2,8.7,"player_per_game_total","2008-2009","Basketball-Reference",2014-11-26 10:35:39
